TargetURL,Channel,Quality,Server,StartTime,Duration
https://website-vercel-helper-d-jaja-3-2.vercel.app/channel/germany-bundesliga-s1779516597982,1,110KBps (Balanced 480p),None,2026-05-25 08:00 PM,None
https://dadocric.st/player.php?id=starsp3&v=m,2,110KBps (Balanced 480p),Server 1,2026-05-26 09:30 PM,4h 30m
https://some-other-link.com/stream,3.1,50KBps (Data Saver 360p),None,2026-05-27 10:15 AM,5h
